,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,Level1,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG,TITLE_NAME
12,12,9545,8101 FURMANVILLE AVE,MIDDLE VLG,0,12110,113238845,26254,36081.0,8101 FURMANVILLE AVE MIDDLE VLG NY 11379-2315,O,A I A QUEENS INC,A40,13855.0,30678,NY,8101 FURMANVILLE AVE,Visual Arts,11379-2315,11379.0,A40,,,a I a Queens Inc.
13,13,9557,4503 37TH ST,LONG IS CITY,0,0,113261970,66642,36081.0,4503 37TH ST LONG IS CITY NY 11101-1801,O,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,A23,74675.0,74675,NY,4503 37TH ST,Cultural & Ethnic Awareness,11101-1801,11101.0,A23,,,Korean Air Conditioning and Refrigeration Association of New
14,14,9566,150 BEEKMAN ST FL 3,NEW YORK,0,33922,113278319,36308,36061.0,150 BEEKMAN ST NEW YORK NY 10038-2015,O,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,A23,0.0,33922,NY,150 BEEKMAN ST,Cultural & Ethnic Awareness,10038-2015,10038.0,A23,40.70698705,-74.002390464714,Korean Seafood Association of New York Inc.
15,15,9625,200 MADISON AVENUE,NEW YORK,50000,0,113395787,73982,36061.0,200 MADISON AVENUE NEW YORK NY 10016-3903,O,MEDICAL ADVERTISING HALL OF FAME INC,A50,66000.0,86043,NY,200 MADISON AVENUE,Museums,10016-3903,10016.0,A50,40.748885200000004,-73.9827039003413,Medical Advertising Hall of Fame Inc.
16,16,9669,2227 33RD ST,ASTORIA,0,29080,113477797,71450,36081.0,2227 33RD ST ASTORIA NY 11105-2402,O,SYLLOGOS KRETON MINOS INC,A23,5550.0,40060,NY,2227 33RD ST,Cultural & Ethnic Awareness,11105-2402,11105.0,A23,40.7698433,-73.916771,Syllogos Kreton Minos Inc.
17,17,9980,125 BARCLAY ST,NEW YORK CITY,0,0,116042353,93703,36061.0,125 BARCLAY ST NEW YORK CITY NY 10007-2233,O,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,102597.0,102701,NY,125 BARCLAY ST,Museums,10007-2233,10007.0,A50,40.714347700000005,-74.01301509999999,American Federation of State County & Municipal Employees
18,18,10020,10916 JAMAICA AVE,RICHMOND HILL,60621,0,116102176,247571,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,O,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,187888.0,187888,NY,10916 JAMAICA AVE,Cultural & Ethnic Awareness,11418-2334,11418.0,A23,40.699692399999996,-73.8321223,National Association of Letter Carriers
19,19,10089,432 PARK AVE S FL 6,NEW YORK,2010204,0,130417765,5206220,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,O,ADVERTISING RESEARCH FOUNDATION INC,A03,5492583.0,5651131,NY,432 PARK AVE S,Professional Societies & Associations,10016-8013,10016.0,A03,40.744215600000004,-73.9836536,Advertising Research Foundation Inc.
20,20,10119,50 E 42ND ST RM 506,NEW YORK,0,0,130453215,159763,36061.0,50 E 42ND ST NEW YORK NY 10017-5436,O,PAINTING & DECORATING CONTRACTORS OF AMERICA,A40,102363.0,267903,NY,50 E 42ND ST,Visual Arts,10017-5436,10017.0,A40,40.7525361,-73.9790574,Painting & Decorating Contractors of America
21,21,10179,31 W 15TH ST,NEW YORK,1500,0,130876693,19567,36061.0,31 W 15TH ST NEW YORK NY 10011-6849,O,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,2883.0,5000,NY,31 W 15TH ST,Cultural & Ethnic Awareness,10011-6849,10011.0,A23,40.7431323,-74.0084454,United Italian American Labor Council Inc.
22,22,10191,6 E 87TH ST,NEW YORK,155017,173500,130971750,244382,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,O,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,77521.0,253361,NY,6 E 87TH ST,Opera,10128-0505,10128.0,A6A,40.778551,-73.95124799999999,Liederkranz of the City of New York
23,23,10233,299 BROADWAY 226,NEW YORK,48119,0,131101367,144281,36061.0,299 BROADWAY NEW YORK NY 10007-1901,O,NEW YORK SOCIETY OF ARCHITECTS,A03,142072.0,143162,NY,299 BROADWAY,Professional Societies & Associations,10007-1901,10007.0,A03,40.715001,-74.0058329,New York Society of Architects
24,24,10272,980 AVE OF AMERICAS 3RD FLR,NEW YORK,20000,0,131374145,41236,36061.0,980 AVE OF AMERICAS NEW YORK NY 10018-0000,O,TEXTILE DISTRIBUTORS ASSOCIATION INC,A40,21500.0,25249,NY,980 AVE OF AMERICAS,Visual Arts,10018-0000,10018.0,A40,40.751309899999995,-73.98642790000001,Textile Distributors Association Inc.
25,25,10312,536 LAGUARDIA PL,NEW YORK,659302,0,131505524,2249797,36061.0,536 LAGUARDIA PL NEW YORK NY 10012-1401,O,AMERICAN INSTITUTE OF ARCHITECTS,A40,712740.0,2527672,NY,536 LAGUARDIA PL,Visual Arts,10012-1401,10012.0,A40,40.7284321903634,-73.9987806079963,American Institute of Architects
26,26,10355,1230 AVE OF THE AMERICAS 7THFL,NEW YORK,106608,130496,131589984,220155,36061.0,1230 AVE OF THE AMERICAS NEW YORK NY 10020-1513,O,WOOLMARK AMERICAS INC,A60,131529.0,262885,NY,1230 AVE OF THE AMERICAS,Performing Arts,10020-1513,10020.0,A60,40.75893370000001,-73.9808983,Woolmark Americas Inc.
27,27,10552,326 W 48TH ST,NYC,0,0,131769475,32450,36061.0,326 W 48TH ST NYC NY 10036-1314,O,THEATRICAL MUTUAL ASSOCIATION NEW YORK LODGE-1,A65,2150.0,5514,NY,326 W 48TH ST,Theater,10036-1314,10036.0,A65,40.76133105,-73.98829892896771,Theatrical Mutual Association New York Lodge-1
28,28,10702,1000 5TH AVE,NEW YORK,11400,0,131956457,378742,36061.0,1000 5TH AVE NEW YORK NY 10028-0113,O,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,369241.0,376376,NY,1000 5TH AVE,Museums,10028-0113,10028.0,A50,40.77944365,-73.96336411385191,American Federation of State County & Municipal Employees
29,29,10758,45 W 14TH ST,NEW YORK,0,0,132534897,209763,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,O,PAINTING INDUSTRY FUND BUILDING CORP,A40,146058.0,146215,NY,45 W 14TH ST,Visual Arts,10011-7419,10011.0,A40,40.737016,-73.9956108,Painting Industry Fund Building Corp.
30,30,10951,485 BROADWAY STE FL 5,NEW YORK,0,0,132857251,99051,36061.0,485 BROADWAY STE NEW YORK NY 10013-0000,O,DECORATIVE FABRICS ASSOCIATION INC,A40,49576.0,51548,NY,485 BROADWAY STE,Visual Arts,10013-0000,10013.0,A40,40.62931210000001,-74.11586616450221,Decorative Fabrics Association Inc.
31,31,10968,360 MADISON AVE 15 FL,NEW YORK,0,0,132877623,117843,36061.0,360 MADISON AVE NEW YORK NY 10017-7111,O,FIXED INCOME ANALYSTS SOCIETY INC HARRHANSEN MGMT INC,A01,112069.0,113509,NY,360 MADISON AVE,Alliances & Advocacy,10017-7111,10017.0,A01,40.7551081,-73.97780870000001,Fixed Income Analysts Society Inc. Harrhansen Mgmt Inc.
32,32,11089,430 E 57TH ST,NEW YORK,0,0,132989680,100524,36061.0,430 E 57TH ST NEW YORK NY 10022-3061,O,DINNER DANCERS INC,A62,100700.0,100751,NY,430 E 57TH ST,Dance,10022-3061,10022.0,A62,40.75759165,-73.961929649792,Dinner Dancers Inc.
33,33,11091,243 5TH AVE STE 236,NEW YORK,0,0,132990527,80967,36061.0,243 5TH AVE NEW YORK NY 10016-8703,O,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,81249.0,82911,NY,243 5TH AVE,Music,10016-8703,10016.0,A68,40.7442273,-73.9867585,Music Publishers Association of the United States Inc.
34,34,11241,27 W 20TH ST STE 601,NEW YORK,47017,0,133131629,156130,36061.0,27 W 20TH ST NEW YORK NY 10011-3728,O,ADVERTISING PHOTOGRAPHER OF AMERICA INC,A40,161914.0,162003,NY,27 W 20TH ST,Visual Arts,10011-3728,10011.0,A40,40.7434266,-73.9998517,Advertising Photographer of America Inc.
35,35,11245,3625 BAINBRIDGE AVE,BRONX,0,0,133132781,86670,36005.0,3625 BAINBRIDGE AVE BRONX NY 10467-1168,O,3680 HOLDING COMPANY INC,A60,86640.0,86670,NY,3625 BAINBRIDGE AVE,Performing Arts,10467-1168,10467.0,A60,40.885237909411295,-73.8777879600377,3680 Holding Company Inc.
36,36,11262,LOCAL,JAMAICA,5940,0,133154895,9260,36081.0,LOCAL JAMAICA NY 11435-0000,O,INDIAN DENTAL ASSOCIATION USA INC,A23,1325.0,19,NY,LOCAL,Cultural & Ethnic Awareness,11435-0000,11435.0,A23,40.6914852,-73.8056771,Indian Dental Association USA Inc.
37,37,11286,420 LEXINGTON AVE RM 2034,NEW YORK,78770,0,133183002,373287,36061.0,420 LEXINGTON AVE NEW YORK NY 10170-0012,O,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,A23,433103.0,440369,NY,420 LEXINGTON AVE,Cultural & Ethnic Awareness,10170-0012,10170.0,A23,40.688204799999994,-73.9443976303818,Arab Bankers Association of North America Inc.
38,38,11326,56 W 45TH ST STE 705,NEW YORK,23400,0,133211019,340052,36061.0,56 W 45TH ST NEW YORK NY 10036-4215,O,INDIAN DIAMOND & COLORSTONE ASSOC INC,A23,307080.0,309180,NY,56 W 45TH ST,Cultural & Ethnic Awareness,10036-4215,10036.0,A23,40.756142,-73.9818767173633,Indian Diamond & Colorstone Association Inc.
39,39,11366,90 JOHN ST RM 403,NEW YORK,0,0,133251595,85940,36061.0,90 JOHN ST NEW YORK NY 10038-3242,O,GRAPHIC ARTISTS GUILD OF NEW YORK,A40,1937.0,93089,NY,90 JOHN ST,Visual Arts,10038-3242,10038.0,A40,40.7079924,-74.0063203,Graphic Artists Guild of New York
40,40,11390,201 E 17TH ST APT 28J,NEW YORK,0,1495,133302569,31990,36061.0,201 E 17TH ST NEW YORK NY 10003-3681,O,NEW YORK DIVISION ELECTRIC RAILROADERS ASSOCIATION,A54,28389.0,29955,NY,201 E 17TH ST,History Museums,10003-3681,10003.0,A54,40.735227,-73.98536440000001,New York Division Electric Railroaders Association
41,41,11408,60 E 42ND ST RM 1341,NEW YORK,0,0,133341914,154196,36061.0,60 E 42ND ST NEW YORK NY 10165-1341,O,GRUPPO ESPONENTI ITALIANI INC,A23,140450.0,141485,NY,60 E 42ND ST,Cultural & Ethnic Awareness,10165-1341,10165.0,A23,40.7523028,-73.9784305,Gruppo Esponenti Italiani Inc.
42,42,11421,3333 HENRY HUDSON PKWY,BRONX,0,5996,133358453,39736,36005.0,3333 HENRY HUDSON PKWY BRONX NY 10463-3224,O,U S S INTREPID ASSOCIATION INC,A12,29285.0,35925,NY,3333 HENRY HUDSON PKWY,Fund Raising & Fund Distribution,10463-3224,10463.0,A12,40.8800573,-73.918883,U S S Intrepid Association Inc.
43,43,11424,3 METROTECH CENTER,BROOKLYN,8000,0,133364852,902888,36047.0,3 METROTECH CENTER BROOKLYN NY 11245-0001,O,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,A40,776158.0,792846,NY,3 METROTECH CENTER,Visual Arts,11245-0001,11245.0,A40,,,Corning Glass Works Ltd Salaried Employees
44,44,11443,,,0,760,133395530,111313,36061.0,,O,CHUNG KUO KUO MIN TANG INC,A23,0.0,110248,NY,,Cultural & Ethnic Awareness,10013,10013.0,A23,,,Chung Kuo Kuo Min Tang Inc.
45,45,11447,165 W 46TH ST,NEW YORK,0,0,133398825,0,36061.0,165 W 46TH ST NEW YORK NY 10036-2501,O,ACTORS EQUITY HOLDING CORPORATION,A65,0.0,621745,NY,165 W 46TH ST,Theater,10036-2501,10036.0,A65,40.75843,-73.9844645,Actors Equity Holding Corporation
46,46,11461,90 ELIZABETH ST,NEW YORK,0,0,133418616,118649,36061.0,90 ELIZABETH ST NEW YORK NY 10013-5566,O,CHINESE WEN CHOW ASSOCIATION INC,A23,7980.0,120561,NY,90 ELIZABETH ST,Cultural & Ethnic Awareness,10013-5566,10013.0,A23,40.7182412,-73.99565926561891,Chinese Wen Chow Association Inc.
47,47,11494,79 BAYARD ST 2/FL,NEW YORK,0,0,133471375,15896,36061.0,79 BAYARD ST NEW YORK NY 10013-4806,O,NEW YORK CHINESE AMERICAN BANKERS ASSOCIATION INC,A23,18500.0,15237,NY,79 BAYARD ST,Cultural & Ethnic Awareness,10013-4806,10013.0,A23,40.715633200000006,-73.99874270000001,New York Chinese American Bankers Association Inc.
48,48,11521,470 PARK AVE S FRNT 2,NEW YORK,35999,0,133498699,76136,36061.0,470 PARK AVE S FRNT NEW YORK NY 10016-6819,O,GLOBAL PUBLIC AFFAIRS INSTITUTE INC,A01,134500.0,134733,NY,470 PARK AVE S FRNT,Alliances & Advocacy,10016-6819,10016.0,A01,,,Global Public Affairs Institute Inc.
49,49,11533,13 E 16TH ST FL 6,NEW YORK,283095,0,133506309,929465,36061.0,13 E 16TH ST NEW YORK NY 10003-3114,O,UNITED STATES ASSOCIATION OF IMPORTERS OF TEXTILES AND APPAREL,A40,485995.0,932201,NY,13 E 16TH ST,Visual Arts,10003-3114,10003.0,A40,40.7371018,-73.9915551856737,United States Association of Importers of Textiles and Apparel
50,50,11549,LOCAL,NEW YORK,1000,0,133520340,50550,36061.0,LOCAL NEW YORK NY 10001-0000,O,GRUPPO RISTORATORI ITALIANI INC,A23,49991.0,50032,NY,LOCAL,Cultural & Ethnic Awareness,10001-0000,10001.0,A23,40.7515081,-73.9934608,Gruppo Ristoratori Italiani Inc.
51,51,11588,PO BOX 872,NEW YORK,0,0,133568008,31959,36061.0,,O,PRIVATE ART DEALERS ASSOCIATION INC,A03,30550.0,31025,NY,,Professional Societies & Associations,10021-0002,10021.0,A03,,,Private Art Dealers Association Inc.
52,52,11621,522 FIFTH AVE,NEW YORK,0,0,133597634,2273582,36061.0,522 FIFTH AVE NEW YORK NY 10036-7601,O,TREMONT LAND HOLDING COMPANY INC,A60,5383607.0,9825107,NY,522 FIFTH AVE,Performing Arts,10036-7601,10036.0,A60,42.7976632,-73.9527343,Tremont Land Holding Company Inc.
53,53,11704,545 8TH AVENUE 12FL,NEW YORK,5850,0,133670200,62641,36061.0,545 8TH AVENUE NEW YORK NY 10018-4307,O,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,96208.0,96208,NY,545 8TH AVENUE,Cultural & Ethnic Awareness,10018-4307,10018.0,A23,40.754498100000006,-73.99219388901379,Korean Apparel Manufactures Association of Greater New York Inc.
54,54,11733,245 PARK AVE,NEW YORK,0,0,133698552,3440000,36061.0,245 PARK AVE NEW YORK NY 10167-0002,O,QUEENRHIS FUNDING COMPANY,A60,0.0,3440000,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,A60,40.7546124,-73.97467189558441,Queenrhis Funding Company
55,55,11797,PO BOX 757,NEW YORK,0,0,133761506,51134,36061.0,,O,GUITAR AND ACCESSORIES MARKETING ASSOCIATION INC,A68,66000.0,32835,NY,,Music,10033-0595,10033.0,A68,,,Guitar and Accessories Marketing Association Inc.
56,56,11811,322 8TH AVE FL 21,NEWYORK,0,60070,133772271,85873,36061.0,322 8TH AVE NEWYORK NY 10001-6763,O,LEAGUE OF OFF-BROADWAY THEATRES AND PRODUCERS INC,A65,34502.0,94572,NY,322 8TH AVE,Theater,10001-6763,10001.0,A65,,,League of Off-Broadway Theatres and Producers Inc.
57,57,11821,PO BOX 5005,NEW YORK,0,0,133781444,3813416,36061.0,,O,WALNUT CREEK PROPERTIES INC,A23,6855569.0,6858262,NY,,Cultural & Ethnic Awareness,10163-5005,10163.0,A23,,,Walnut Creek Properties Inc.
58,58,11843,522 5TH AVE,NEW YORK,0,0,133801078,1279292,36061.0,522 5TH AVE NEW YORK NY 10036-7601,O,MOONLITE FUNDING COMPANY,A60,0.0,1279292,NY,522 5TH AVE,Performing Arts,10036-7601,10036.0,A60,40.7546381,-73.9802609,Moonlite Funding Company
59,59,11868,915 BROADWAY STE 1400,NEW YORK,0,0,133835380,7028,36061.0,915 BROADWAY NEW YORK NY 10010-7176,O,COMMITTEE OF FRENCH SPEAKING SOCIETIES INC,A23,2529.0,6526,NY,915 BROADWAY,Cultural & Ethnic Awareness,10010-7176,10010.0,A23,40.7397055,-73.98977430000001,Committee of French Speaking Societies Inc.
60,60,11885,136 30 MAPLE ST,FLUSHING,0,129930,133853865,107604,36081.0,136 30 MAPLE ST FLUSHING NY 11355-3865,O,AMERICAN ASSOCIATION OF CHINESE PHYSICIANS,A23,0.0,129930,NY,136 30 MAPLE ST,Cultural & Ethnic Awareness,11355-3865,11355.0,A23,,,American Association of Chinese Physicians
61,61,11914,PO BOX 3165,NEW YORK,0,0,133873175,31852,36061.0,,O,NETWORK OF INDIAN PROFESSIONALS INC,A23,40600.0,40600,NY,,Cultural & Ethnic Awareness,10163-3165,10163.0,A23,,,Network of Indian Professionals Inc.
62,62,11933,245 PARK AVE,NEW YORK,0,0,133893891,9453152,36061.0,245 PARK AVE NEW YORK NY 10167-0002,O,SIXTH AVENUE ML COMPANY INC,A60,0.0,9453152,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,A60,40.7546124,-73.97467189558441,Sixth Avenue Ml Company Inc.
63,63,12008,1251 AVE OF THE AMERICAS 35TH FLR,NEW YORK,0,0,133975917,0,36061.0,1251 AVE OF THE AMERICAS NEW YORK NY 10020-1104,O,CRYSTAL CREEK INVESTMENT GROUP INC,A23,0.0,1545820,NY,1251 AVE OF THE AMERICAS,Cultural & Ethnic Awareness,10020-1104,10020.0,A23,40.7600411,-73.98189034217809,Crystal Creek Investment Group Inc.
64,64,12039,245 PARK AVE,NEW YORK,0,0,134005504,5049661,36061.0,245 PARK AVE NEW YORK NY 10167-0002,O,RIDGEWAY FUNDING COMPANY INC,A60,0.0,5049661,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,A60,40.7546124,-73.97467189558441,Ridgeway Funding Company Inc.
65,65,12063,3 W 18TH ST,NEW YORK,0,0,134017838,35138,36061.0,3 W 18TH ST NEW YORK NY 10011-4610,O,ASSOCIATION OF MUSIC PRODUCERS INC,A68,32125.0,32125,NY,3 W 18TH ST,Music,10011-4610,10011.0,A68,40.7389549,-73.9923463,Association of Music Producers Inc.
66,66,12222,501 W 42ND ST,NEW YORK,32410,0,134192352,558997,36061.0,501 W 42ND ST NEW YORK NY 10036-6205,O,ARCHITECTURAL IRON REALTY CORP,A40,204700.0,204700,NY,501 W 42ND ST,Visual Arts,10036-6205,10036.0,A40,40.759908200000005,-73.9957292,Architectural Iron Realty Corp.
67,67,12251,45 E 85TH ST,NEW YORK,29280,63210,134218359,89211,36061.0,45 E 85TH ST NEW YORK NY 10028-0957,O,ASSOCIATION OF ART MUSEUM CURATORS,A50,23195.0,86615,NY,45 E 85TH ST,Museums,10028-0957,10028.0,A50,40.77995665,-73.95842827222509,Association of Art Museum Curators
68,68,12424,45 E 33RD ST,NEW YORK,162305,0,135493557,229427,36061.0,45 E 33RD ST NEW YORK NY 10016-5336,O,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,A23,70890.0,115395,NY,45 E 33RD ST,Cultural & Ethnic Awareness,10016-5336,10016.0,A23,40.74689385,-73.98237420988809,Cemetery Dept of the Workmens Circle Inc.
69,69,12426,45 W 14TH ST,NEW YORK,0,0,135502139,72444,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,O,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,A40,67503.0,67503,NY,45 W 14TH ST,Visual Arts,10011-7419,10011.0,A40,40.737016,-73.9956108,International Union of Painters and Allied Trades
70,70,12511,307 W 30TH ST,NEW YORK,92185,0,135580391,287036,36061.0,307 W 30TH ST NEW YORK NY 10001-2703,O,LITHUANIAN ALLIANCE OF AMERICA,A23,169473.0,169473,NY,307 W 30TH ST,Cultural & Ethnic Awareness,10001-2703,10001.0,A23,40.750036,-73.9958068,Lithuanian Alliance of America
71,71,12547,126 UNIVERSITY PL APT 5,NEW YORK,197325,287724,135606408,600502,36061.0,126 UNIVERSITY PL NEW YORK NY 10003-4571,O,NATIONAL LAWYERS GUILD,A20,223259.0,590770,NY,126 UNIVERSITY PL,Arts & Culture,10003-4571,10003.0,A20,40.73491955,-73.9922924589038,National Lawyers Guild
72,72,12600,225 W 39TH ST RM 302,NEW YORK,0,0,135647466,26785,36061.0,225 W 39TH ST NEW YORK NY 10018-3148,O,PLEATERS STITCHERS & EMBROIDERERS ASSN INC,A40,24027.0,25777,NY,225 W 39TH ST,Visual Arts,10018-3148,10018.0,A40,40.7546633,-73.98928690000001,Pleaters Stitchers & Embroiderers Assn Inc.
73,73,12604,355 LEXINGTON AVE FL 17,NEW YORK,0,0,135651681,7467,36061.0,355 LEXINGTON AVE NEW YORK NY 10017-6603,O,COMICS MAGAZINE ASSOCIATION OF AMERICA INC,A01,50635.0,50635,NY,355 LEXINGTON AVE,Alliances & Advocacy,10017-6603,10017.0,A01,40.75015225,-73.976476608642,Comics Magazine Association of America Inc.
74,74,12687,400 LAFAYETTE ST RM 4,NEW YORK,0,0,136092225,7245,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,O,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,15648,NY,400 LAFAYETTE ST,Visual Arts,10003-6900,10003.0,A40,40.7280641,-73.9932516,Textile Converters Liquidation Benefit Fund
75,75,12834,575 MADISON AVE,NEW YORK,0,0,136149730,468134,36061.0,575 MADISON AVE NEW YORK NY 10022-2511,O,ART DEALERS ASSOCIATION OF AMERICA INC,A03,839951.0,871861,NY,575 MADISON AVE,Professional Societies & Associations,10022-2511,10022.0,A03,40.7617911,-73.9724122408202,Art Dealers Association of America Inc.
76,76,13133,1501 BROADWAY STE 6TH FL,NEW YORK,0,0,136976195,0,36061.0,1501 BROADWAY STE NEW YORK NY 10036-5601,O,AMERICAN FEDERATION OF MUSICIANS OF THE US & CANADA,A68,0.0,25875,NY,1501 BROADWAY STE,Music,10036-5601,10036.0,A68,40.7572684,-73.9866623406083,American Federation of Musicians of the US & Canada
77,77,15218,770 BROADWAY 5TH FLR,NEW YORK,0,0,160876072,117078,36061.0,770 BROADWAY NEW YORK NY 10003-9522,O,NATO THEATRE OWNERS OF NEW YORK STATE INC,A65,25017.0,123714,NY,770 BROADWAY,Theater,10003-9522,10003.0,A65,40.7308477,-73.9915391,Nato Theatre Owners of New York State Inc.
78,78,17442,40 WALL ST FLR 11,NEW YORK,0,0,200864170,11850,36061.0,40 WALL ST NEW YORK NY 10005-1304,PC,SOUTH ASIAN AMERICAN ASSOCIATION INC,A23,0.0,18818,NY,40 WALL ST,Cultural & Ethnic Awareness,10005-1304,10005.0,A23,40.70702185,-74.0096669226679,South Asian American Association Inc.
