,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,LAT,LONG
20,7890,110 EAST 25TH STREET 3RD FLOOR,NEW YORK,521753.0,0.0,131589984,2038739.0,36061.0,110 EAST 25TH STREET NEW YORK NY 10010-2913,WOOLMARK AMERICAS INC THE WOOLMARK COMPANY,A60,91815.0,2196000.0,NY,110 EAST 25TH STREET,Performing Arts,10010-2913,10010.0,40.7411787,-73.9849576
21,8149,1000 FIFTH AVENUE,NEW YORK,17663.0,0.0,131956457,417762.0,36061.0,1000 FIFTH AVENUE NEW YORK NY 11105-1614,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES L1503NY NYC METRO MUSEUM OF ART EMP,A50,431390.0,431708.0,NY,1000 FIFTH AVENUE,Museums,11105-1614,10028.0,42.7976632,-73.9527343
22,8190,45 WEST 14TH STREET,NEW YORK,0.0,0.0,132534897,307205.0,36061.0,45 WEST 14TH STREET NEW YORK NY 10011-7419,PAINTING INDUSTRY FUND BUILDING CORP,A40,604770.0,605030.0,NY,45 WEST 14TH STREET,Visual Arts,10011-7419,10011.0,40.737016,-73.9956108
23,8335,14 WALL ST FL 20,NEW YORK,0.0,30000.0,132857251,62568.0,36061.0,14 WALL ST NEW YORK NY 11787-0527,DECORATIVE FURNISHINGS ASSOCIATION INC,A40,64000.0,94000.0,NY,14 WALL ST,Visual Arts,11787-0527,10005.0,40.70763365,-74.0107570034372
24,8347,244 5TH AVE SUITE L230,NEW YORK,0.0,51600.0,132877623,206165.0,36061.0,244 5TH AVE NEW YORK NY 10001-7604,FIXED INCOME ANALYSTS SOCIETY INC,A01,200860.0,254143.0,NY,244 5TH AVE,Alliances & Advocacy,10001-7604,10001.0,40.7445864,-73.9876442
25,8436,243 5TH AVE RM 236,NEW YORK,0.0,31410.0,132990527,151273.0,36061.0,243 5TH AVE NEW YORK NY 10016-8703,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,312090.0,347634.0,NY,243 5TH AVE,Music,10016-8703,10016.0,40.7442273,-73.9867585
26,8491,NEW YORK TERMINAL MKT RM C27,BRONX,0.0,234966.0,133071647,234966.0,36005.0,NEW YORK TERMINAL MKT BRONX NY 10474-0000,KOREAN PRODUCE ASSOCIATION INC,A23,0.0,234966.0,NY,NEW YORK TERMINAL MKT,Cultural & Ethnic Awareness,10474-0000,10474.0,,
27,8539,217 E 70TH ST UNIT 1514,NEW YORK,0.0,32399.0,133131629,29091.0,36061.0,217 E 70TH ST UNIT NEW YORK NY 10021-9268,ADVERTISING PHOTOGRAPHER OF AMERICA INC,A40,0.0,32401.0,NY,217 E 70TH ST UNIT,Visual Arts,10021-9268,10021.0,,
28,8580,150 W 28TH ST STE 801,NEW YORK,251354.0,201736.0,133183002,675848.0,36061.0,150 W 28TH ST NEW YORK NY 10001-6181,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,A23,308651.0,520391.0,NY,150 W 28TH ST,Cultural & Ethnic Awareness,10001-6181,10001.0,40.7467748,-73.9928099028647
29,8608,56 W 45TH ST STE 705,NEW YORK,44000.0,0.0,133211019,421841.0,36061.0,56 W 45TH ST NEW YORK NY 10036-4206,INDIAN DIAMOND AND COLORSTONE ASSOC INC,A23,384802.0,387363.0,NY,56 W 45TH ST,Cultural & Ethnic Awareness,10036-4206,10036.0,40.756142,-73.9818767173633
30,8663,60 E 42ND ST STE 2214,NEW YORK,0.0,0.0,133341914,139033.0,36061.0,60 E 42ND ST NEW YORK NY 10165-6232,GRUPPO ESPONENTI ITALIANI INC,A23,86687.0,86687.0,NY,60 E 42ND ST,Cultural & Ethnic Awareness,10165-6232,10165.0,40.7523028,-73.9784305
31,8670,62 BAYARD STREET,NEW YORK,0.0,0.0,133353621,7780.0,36061.0,62 BAYARD STREET NEW YORK NY 10013-4938,SU KAI CHIN ASSOCIATION INC,A23,0.0,561.0,NY,62 BAYARD STREET,Cultural & Ethnic Awareness,10013-4938,10013.0,40.7155673,-73.9979039
32,8675,JPMORGAN CHASE BANK NA 1 CHASE,NEW YORK,13500.0,0.0,133364852,500259.0,36061.0,JPMORGAN CHASE BANK NA 1 CHASE NEW YORK NY 15253-5007,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,A40,624026.0,624448.0,NY,JPMORGAN CHASE BANK NA 1 CHASE,Visual Arts,15253-5007,10005.0,,
33,8690,165 WEST 46TH STREET,NEW YORK,0.0,0.0,133398825,205091.0,36061.0,165 WEST 46TH STREET NEW YORK NY 10036-2501,ACTORS EQUITY HOLDING CORPORATION,A65,1140000.0,1175021.0,NY,165 WEST 46TH STREET,Theater,10036-2501,10036.0,40.75843,-73.9844645
34,8698,630 9TH AVE STE 1103,NEW YORK,299205.0,0.0,133418140,700311.0,36061.0,630 9TH AVE NEW YORK NY 10036-3743,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMPLOYEES AND MOVING PICTURE 161 LOCAL,A65,988724.0,989253.0,NY,630 9TH AVE,Theater,10036-3743,10036.0,40.7597501,-73.991404
35,8712,411 5TH AVE NO 701,NEW YORK,0.0,21716.0,133443010,78265.0,36061.0,411 5TH AVE NO NEW YORK NY 10016-2203,NATIONAL CHINESE AMERICAN JEWELRY ASSOCIATION INC,A23,41325.0,63045.0,NY,411 5TH AVE NO,Cultural & Ethnic Awareness,10016-2203,10016.0,,
36,8719,4014 MAIN ST,FLUSHING,0.0,0.0,133471375,5631.0,36081.0,4014 MAIN ST FLUSHING NY 10002-4900,NEW YORK CHINESE AMERICAN BANKERS ASSOCIATION INC,A23,0.0,250.0,NY,4014 MAIN ST,Cultural & Ethnic Awareness,10002-4900,11354.0,,
37,8756,400 - 2ND AV,NEW YORK,0.0,0.0,133523770,4410.0,36061.0,,BAHAMIAN AMERICAN CULTURAL SOCIETY,A23,250.0,250.0,NY,400 - 2ND AV,Cultural & Ethnic Awareness,,10010.0,,
38,8868,254 WEST 35TH STREET 4TH FLOOR,NEW YORK,0.0,80743.0,133670200,84484.0,36061.0,254 WEST 35TH STREET NEW YORK NY 10001-2504,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,0.0,80743.0,NY,254 WEST 35TH STREET,Cultural & Ethnic Awareness,10001-2504,10001.0,40.75237905,-73.9923441971525
39,8874,52 BROADWAY,NEW YORK,0.0,0.0,133683285,2800.0,36061.0,52 BROADWAY NEW YORK NY 10004-1603,49 EAST 21 COMPANY INC,A60,0.0,0.0,NY,52 BROADWAY,Performing Arts,10004-1603,10004.0,40.70646585,-74.0122976562941
40,8931,101 E 15TH ST FL 2,NEW YORK,0.0,0.0,133772271,144962.0,36061.0,101 E 15TH ST NEW YORK NY 10003-2168,OFF BROADWAY LEAGUE,A65,143540.0,158768.0,NY,101 E 15TH ST,Theater,10003-2168,10003.0,40.7352506,-73.9894787
41,8962,C/O CONSTANTIN ASSOCIATES - 575 MAD,NEW YORK,0.0,39622.0,133835380,31393.0,36061.0,C/O CONSTANTIN ASSOCIATES - 575 MAD NEW YORK NY 10022-8509,COMMITTEE OF FRENCH SPEAKING SOCIETIES INC,A23,1725.0,41480.0,NY,C/O CONSTANTIN ASSOCIATES - 575 MAD,Cultural & Ethnic Awareness,10022-8509,10022.0,,
42,9056,3 W 18TH ST FL 5,NEW YORK,0.0,51911.0,134017838,130365.0,36061.0,3 W 18TH ST NEW YORK NY 10011-4661,ASSOCIATION OF MUSIC PRODUCERS INC,A68,95676.0,147587.0,NY,3 W 18TH ST,Music,10011-4661,10011.0,40.7389549,-73.9923463
43,9137,501 W 42ND ST,NEW YORK,75416.0,0.0,134192352,447420.0,36061.0,501 W 42ND ST NEW YORK NY 10036-6205,ARCHITECTURAL IRON REALTY CORP,A40,204700.0,204745.0,NY,501 W 42ND ST,Visual Arts,10036-6205,10036.0,40.7599082,-73.9957292
44,9260,247 W 37TH ST FRNT 5,NEW YORK,0.0,1000.0,135493557,119600.0,36061.0,,CEMETERY DEPT OF THE WORKMENS CIRCLE INC 8144N BRANCH,A23,69090.0,70163.0,NY,247 W 37TH ST FRNT,Cultural & Ethnic Awareness,,10018.0,,
45,9262,45 WEST 14TH STREET,NEW YORK,0.0,0.0,135502139,68756.0,36061.0,45 WEST 14TH STREET NEW YORK NY 10011-7419,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES 0490 LOCAL,A40,60671.0,60671.0,NY,45 WEST 14TH STREET,Visual Arts,10011-7419,10011.0,40.737016,-73.9956108
46,9350,126 UNIVERSITY PL APT 5,NEW YORK,225832.0,424626.0,135606408,558147.0,36061.0,126 UNIVERSITY PL NEW YORK NY 10038-0000,NATIONAL LAWYERS GUILD,A20,139163.0,579488.0,NY,126 UNIVERSITY PL,Arts & Culture,10038-0000,10003.0,42.6770575,-73.8231609439326
47,9476,200 E 78TH ST APT 16F,NEW YORK,0.0,2560.0,136115898,4435.0,36061.0,200 E 78TH ST NEW YORK NY 10075-2017,YIDDISH THEATRICAL ALLIANCE INC,A65,115.0,5325.0,NY,200 E 78TH ST,Theater,10075-2017,10075.0,40.7734262,-73.9576391
48,9546,205 LEXINGTON AVE RM 901,NEW YORK,484350.0,842750.0,136149730,1536166.0,36061.0,205 LEXINGTON AVE NEW YORK NY 10016-6022,ART DEALERS ASSOCIATION OF AMERICA INC,A03,265563.0,1538746.0,NY,205 LEXINGTON AVE,Professional Societies & Associations,10016-6022,10016.0,40.7452208,-73.9804111
49,9694,PO BOX 154,NEW YORK,89413.0,0.0,136227788,292259.0,36061.0,,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMP AND MVG PIC MACH OP US AND CAN 794 IATSE LOCAL,A65,323101.0,413185.0,NY,,Theater,10021-0012,10021.0,,
50,9778,1501 BROADWAY,NEW YORK,0.0,0.0,136976195,0.0,36061.0,1501 BROADWAY NEW YORK NY 10036-5501,AMERICAN FEDERATION OF MUSICIANS OF THE US AND CANADA MUTUAL BENEFIT TRUST,A68,0.0,0.0,NY,1501 BROADWAY,Music,10036-5501,10036.0,40.7572684,-73.9866623406083
51,11371,770 BROADWAY FL 15,NEW YORK,0.0,0.0,160876072,122645.0,36061.0,770 BROADWAY NEW YORK NY 10019-7574,NATO THEATRE OWNERS OF NEW YORK STATE INC,A65,119444.0,124596.0,NY,770 BROADWAY,Theater,10019-7574,10003.0,40.7667393,-73.9817729
52,13843,2038 DAVIDSON AVE,BRONX,0.0,36375.0,203834646,38312.0,36005.0,2038 DAVIDSON AVE BRONX NY 10453-4652,LATINO ASSOCIATION OF TAX PREPARERS INC,A23,0.0,36375.0,NY,2038 DAVIDSON AVE,Cultural & Ethnic Awareness,10453-4652,10453.0,40.8535385,-73.9084643499483
53,14829,PO BOX 5005,NEW YORK,0.0,0.0,208574404,14052.0,36061.0,,SSPF ALISO CREEK INC,A23,0.0,1019766.0,NY,,Cultural & Ethnic Awareness,,10163.0,,
54,16624,156 W 56TH ST STE 1804,NEW YORK,0.0,3300.0,222701258,116222.0,36061.0,156 W 56TH ST NEW YORK NY 10019-3878,BOOKBINDERS GUILD OF NEW YORK INC,A20,93302.0,96625.0,NY,156 W 56TH ST,Arts & Culture,10019-3878,10019.0,40.7641992,-73.9796511048683
55,23573,132 E 43RD ST,NEW YORK,0.0,0.0,237148374,126807.0,36061.0,,ASSOCIATION OF RECORDS MANAGERS AND ADMINISTRATORS 70 METROPOLITAN NEW YORK CITY,A68,130787.0,130788.0,NY,132 E 43RD ST,Music,,10017.0,,
56,24974,125 BARCLAY ST,NEW YORK,0.0,0.0,237240585,69297.0,36061.0,125 BARCLAY ST NEW YORK NY 10007-2233,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES L1559NY AMER MUSEUM NTL HISTORY EMP,A50,50666.0,50666.0,NY,125 BARCLAY ST,Museums,10007-2233,10007.0,40.71457855,-74.0129611722525
57,27129,99 PARK AVE RM 1830,NEW YORK,177471.0,0.0,237411166,273692.0,36061.0,99 PARK AVE NEW YORK NY 10016-1613,LIBERIAN SHIPOWNERS COUNCIL LTD,A23,266300.0,266986.0,NY,99 PARK AVE,Cultural & Ethnic Awareness,10016-1613,10016.0,40.7504324,-73.9785908
58,27577,1060 ANDERSON AVE APT 5C,BRONX,0.0,0.0,237444871,40384.0,36005.0,1060 ANDERSON AVE BRONX NY 11207-6704,CIVIL SERVICE EMPLOYEES ASSOCIATION 0646 SUNY HLTH SCIENCE BRKLYN,A57,37287.0,46509.0,NY,1060 ANDERSON AVE,Science & Technology Museums,11207-6704,10452.0,40.83358145,-73.9257303037253
59,31268,PO BOX 5005,NEW YORK,0.0,0.0,261164518,1890091.0,36061.0,,WOODFIELD COLUMBIA PIKE ACQUISITION COMPANY,A60,5451638.0,5451790.0,NY,,Performing Arts,,10163.0,,
60,31810,207 CANAL ST FL 3,NEW YORK,0.0,163703.0,262752840,140538.0,36061.0,207 CANAL ST NEW YORK NY 10013-5540,CHAO CHIU ASSOCIATION INC,A20,0.0,163703.0,NY,207 CANAL ST,Arts & Culture,10013-5540,10013.0,40.7173646,-73.9987509
61,33038,2926 UNION ST,FLUSHING,0.0,0.0,271199435,48827.0,36081.0,2926 UNION ST FLUSHING NY 11354-2201,KOREAN AMERICAN PHARMACISTS ASSOCIATION OF NY INC,A23,11420.0,132331.0,NY,2926 UNION ST,Cultural & Ethnic Awareness,11354-2201,11354.0,,
62,33969,C/O CONSTANTIN 575 MADISON AVE,NEW YORK,0.0,36600.0,274105116,95963.0,36061.0,C/O CONSTANTIN 575 MADISON AVE NEW YORK NY 10022-0000,FRENCH ENTREPRENEURSHIP FRIENDSHIP SOCIETY INC CLUB 600,A23,54000.0,90600.0,NY,C/O CONSTANTIN 575 MADISON AVE,Cultural & Ethnic Awareness,10022-0000,10022.0,,
63,34483,PO BOX 250807,NEW YORK,0.0,0.0,300379922,34332.0,36061.0,,ETHIOPIAN EDIR MUTUAL ASSISTANCE ASSOCIATION IN NEW YORK INC,A23,47150.0,48273.0,NY,,Cultural & Ethnic Awareness,10025-1509,10025.0,,
64,34526,890 BROADWAY,NEW YORK,0.0,0.0,300459786,40410.0,36061.0,890 BROADWAY NEW YORK NY 10003-1211,ABT DANCERS BENEFIT TR FUND KARIN ELLIS WENTZ TTEE,A62,0.0,70.0,NY,890 BROADWAY,Dance,10003-1211,10003.0,40.7265273,-73.9958473
65,37789,630 9TH AVE STE 609,NEW YORK,794952.0,0.0,330274349,1894304.0,36061.0,630 9TH AVE NEW YORK NY 10036-3748,PLASA NORTH AMERICA,A65,1228913.0,1672079.0,NY,630 9TH AVE,Theater,10036-3748,10036.0,40.7597501,-73.991404
66,42791,340 W 55TH ST,NEW YORK,0.0,67500.0,352237120,77193.0,36061.0,340 W 55TH ST NEW YORK NY 10019-3766,MUSIC ACCORD INC,A68,0.0,67500.0,NY,340 W 55TH ST,Music,10019-3766,10019.0,40.765922,-73.9855961128434
67,61825,80A 4TH AVE,BROOKLYN,0.0,153297.0,455454734,113080.0,36047.0,80A 4TH AVE BROOKLYN NY 11217-1908,VOCAL NY ACTION FUND INC,A6B,646.0,155685.0,NY,80A 4TH AVE,Singing & Choral Groups,11217-1908,11217.0,40.6821272,-73.9801054
68,62900,C/O NEW YORK PHILHARMONIC,NEW YORK,0.0,0.0,462294622,178812.0,36061.0,C/O NEW YORK PHILHARMONIC NEW YORK NY 10023-0000,SYMPHONY OPERA AND BALLET EMPLOYERS ELECTRONIC MEDIA ASSOCIA,A63,178900.0,178900.0,NY,C/O NEW YORK PHILHARMONIC,Ballet,10023-0000,10023.0,,
69,63036,33 W 46TH ST STE 800,NEW YORK,0.0,0.0,462841992,1069.0,36061.0,33 W 46TH ST NEW YORK NY 10036-4103,BEST OF FRANCE INC,A23,0.0,0.0,NY,33 W 46TH ST,Cultural & Ethnic Awareness,10036-4103,10036.0,40.75682255,-73.9803233369909
70,63628,4040 98TH STREET 1N,CORONA,0.0,49215.0,465097919,36844.0,36081.0,4040 98TH STREET CORONA NY 11368-2152,UNITED BHUTANESE ASSOCIATION NY INC,A23,0.0,49215.0,NY,4040 98TH STREET,Cultural & Ethnic Awareness,11368-2152,11368.0,40.7428066,-73.8643869
71,67447,92 PINEHURST AVE APT N05,NEW YORK,0.0,0.0,510244825,39417.0,36061.0,92 PINEHURST AVE NEW YORK NY 10463-2625,FREE AND ACCEPTED MASONS OF NEW YORK 232 KING SOLOMON BEETHOVEN LODGE,A68,13002.0,55173.0,NY,92 PINEHURST AVE,Music,10463-2625,10033.0,40.8515807,-73.9392748
72,69821,52 VANDERBILT 20TH FL,NEW YORK,0.0,60575.0,521902671,125464.0,36061.0,52 VANDERBILT NEW YORK NY 10017-3808,BRITISH AMERICAN BUSINESS COUNCIL,A23,13200.0,73775.0,NY,52 VANDERBILT,Cultural & Ethnic Awareness,10017-3808,10017.0,40.7542036,-73.9772008
73,91520,70 W 36TH ST,NEW YORK,0.0,0.0,742066156,0.0,36061.0,70 W 36TH ST NEW YORK NY 10018-8007,DUWEL COMPANY,A60,0.0,0.0,NY,70 W 36TH ST,Performing Arts,10018-8007,10018.0,40.7505863,-73.9862797021415
74,111952,770 BROADWAY 7TH FLOOR,NEW YORK,0.0,0.0,952786905,367764.0,36061.0,770 BROADWAY NEW YORK NY 10003-9557,INTERNATIONAL THEATRE EQUIPMENT ASSOCIATION INC,A65,475129.0,475489.0,NY,770 BROADWAY,Theater,10003-9557,10003.0,40.7308477,-73.9915391
75,115758,79TH ST AND CENTRAL PARK W,NEW YORK,0.0,0.0,136117924,113820.0,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,115202.0,115249.0,NY,79TH ST AND CENTRAL PARK W,Museums,10024-0000,10024.0,,
76,116447,536 LAGUARDIA PL,NEW YORK,1461604.0,1533607.0,131505524,3992697.0,36061.0,536 LAGUARDIA PL NEW YORK NY 10012-1401,AMERICAN INSTITUTE OF ARCHITECTS,A40,2387123.0,4130706.0,NY,536 LAGUARDIA PL,Visual Arts,10012-1401,10012.0,40.7284321903634,-73.9987806079963
77,119291,45 E 85TH ST,NEW YORK,0.0,0.0,134218359,141537.0,36061.0,45 E 85TH ST NEW YORK NY 10028-0957,ASSOCIATION OF ART MUSEUM CURATORS,A50,145034.0,154857.0,NY,45 E 85TH ST,Museums,10028-0957,10028.0,40.77995665,-73.9584282722251
78,119310,1300 MORRIS PARK AVE STE B502,BRONX,0.0,0.0,510192888,116040.0,36005.0,1300 MORRIS PARK AVE BRONX NY 10461-1900,NEW YORK OBSTETRICAL SOCIETY INC,A69,89199.0,89199.0,NY,1300 MORRIS PARK AVE,Symphony Orchestras,10461-1900,10461.0,40.851003,-73.844241
79,123262,PO BOX 260001,BELLROSE,0.0,66992.0,30560682,64831.0,36081.0,,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,66992.0,NY,,Cultural & Ethnic Awareness,11426-0001,11426.0,,
80,126553,135 WILLOW ST APT 903,BROOKLYN,0.0,0.0,133947683,44210.0,36047.0,135 WILLOW ST BROOKLYN NY 11201-2216,ASSOCIATION OF KOREAN AMERICAN MEDICAL GRADUATES INC,A23,0.0,48165.0,NY,135 WILLOW ST,Cultural & Ethnic Awareness,11201-2216,11201.0,40.6971486,-73.9956278002878
81,126734,200 EASTERN PKWY,BROOKLYN,3476.0,0.0,116042353,108764.0,36047.0,200 EASTERN PKWY BROOKLYN NY 11238-6052,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,111916.0,111933.0,NY,200 EASTERN PKWY,Museums,11238-6052,11238.0,40.6709108,-73.9633157304714
82,128491,4534 COURT SQ,LONG IS CITY,0.0,0.0,136356709,10712.0,36081.0,4534 COURT SQ LONG IS CITY NY 11101-4301,MOSAIC AND TERRAZZO VACATION FUND,A40,5103.0,8743.0,NY,4534 COURT SQ,Visual Arts,11101-4301,11101.0,40.745984,-73.943678
83,129580,PO BOX 872,NEW YORK,0.0,0.0,133568008,35597.0,36061.0,,PRIVATE ART DEALERS ASSOCIATION INC,A03,37550.0,50164.0,NY,,Professional Societies & Associations,10021-0002,10021.0,,
84,132127,400 LAFAYETTE ST FL 4,NEW YORK,0.0,0.0,136092225,7257.0,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,1437.0,NY,400 LAFAYETTE ST,Visual Arts,10003-6900,10003.0,40.7280641,-73.9932516
